Time[s], Channel 0, Channel 1, Channel 2, clk_smp
0.000000000000000, 0, 1, 1, 0
0.000000010000000, 0, 1, 1, 1
0.000000090000000, 0, 1, 1, 0
0.000000210000000, 0, 1, 1, 1
0.000000290000000, 0, 1, 1, 0
0.000000410000000, 0, 1, 1, 1
0.000000490000000, 0, 1, 1, 0
0.000000590000000, 0, 0, 1, 0
0.000000600000000, 1, 0, 1, 0
0.000000610000000, 1, 0, 1, 1
0.000000690000000, 1, 0, 1, 0
0.000000790000000, 0, 0, 1, 0
0.000000800000000, 0, 1, 1, 0
0.000000810000000, 0, 1, 1, 1
0.000000890000000, 0, 1, 1, 0
0.000001010000000, 0, 1, 1, 1
0.000001090000000, 0, 1, 1, 0
0.000001210000000, 0, 1, 1, 1
0.000001290000000, 0, 1, 1, 0
0.000001410000000, 0, 1, 1, 1
0.000001490000000, 0, 1, 1, 0
0.000001610000000, 0, 1, 1, 1
0.000001690000000, 0, 1, 1, 0
0.000001810000000, 0, 1, 1, 1
0.000001890000000, 0, 1, 1, 0
0.000002010000000, 0, 1, 1, 1
0.000002090000000, 0, 1, 1, 0
0.000002210000000, 0, 1, 1, 1
0.000002290000000, 0, 1, 1, 0
0.000002410000000, 0, 1, 1, 1
0.000002490000000, 0, 1, 1, 0
0.000002610000000, 0, 1, 1, 1
0.000002690000000, 0, 1, 1, 0
0.000002810000000, 0, 1, 1, 1
0.000002890000000, 0, 1, 1, 0
0.000003010000000, 0, 1, 1, 1
0.000003090000000, 0, 1, 1, 0
0.000003210000000, 0, 1, 1, 1
0.000003290000000, 0, 1, 1, 0
0.000003410000000, 0, 1, 1, 1
0.000003490000000, 0, 1, 1, 0
0.000003610000000, 0, 1, 1, 1
0.000003690000000, 0, 1, 1, 0
0.000003810000000, 0, 1, 1, 1
0.000003890000000, 0, 1, 1, 0
0.000004010000000, 0, 1, 1, 1
0.000004090000000, 0, 1, 1, 0
0.000004210000000, 0, 1, 1, 1
0.000004290000000, 0, 1, 1, 0
0.000004410000000, 0, 1, 1, 1
0.000004490000000, 0, 1, 1, 0
0.000004610000000, 0, 1, 1, 1
0.000004690000000, 0, 1, 1, 0
0.000004810000000, 0, 1, 1, 1
0.000004890000000, 0, 1, 1, 0
0.000005010000000, 0, 1, 1, 1
0.000005090000000, 0, 1, 1, 0
0.000005210000000, 0, 1, 1, 1
0.000005290000000, 0, 1, 1, 0
0.000005410000000, 0, 1, 1, 1
0.000005490000000, 0, 1, 1, 0
0.000005610000000, 0, 1, 1, 1
0.000005690000000, 0, 1, 1, 0
0.000005810000000, 0, 1, 1, 1
0.000005890000000, 0, 1, 1, 0
0.000006010000000, 0, 1, 1, 1
0.000006090000000, 0, 1, 1, 0
